Ticker,Positive,Neutral,Negative,Polarity_Score,Filtered_Positive,Filtered_Neutral,Filtered_Negative
ABBV,0.1884,0.6907,0.1209,0.6092,0.5210,0.1463,0.3327
ACIC,0.1161,0.6906,0.1934,0.3750,0.3461,0.1285,0.5254
APP,0.1838,0.6799,0.1364,0.5740,0.5573,0.1262,0.3165
ASM,,,,,,,
CLS,0.1567,0.7108,0.1325,0.5419,0.5045,0.1452,0.3503
FTAI,0.1797,0.6424,0.1778,0.5027,0.4825,0.1055,0.4120
HCA,0.1447,0.6636,0.1917,0.4302,0.3571,0.1295,0.5134
HRTG,0.2736,0.4986,0.2277,0.5458,0.5101,0.0850,0.4049
IAG,,,,,,,
LMB,0.1814,0.6227,0.1959,0.4809,0.4359,0.1429,0.4212
MAMA,0.2557,0.6119,0.1324,0.6588,0.6758,0.0883,0.2359
MFH,,,,,,,
PLTR,0.1738,0.7235,0.1027,0.6285,0.6754,0.1034,0.2212
POWL,0.3562,0.4062,0.2375,0.5999,0.5493,0.0847,0.3660
PSIX,0.1528,0.6806,0.1666,0.4783,0.4171,0.1312,0.4518
SLNO,0.1287,0.6619,0.2094,0.3807,0.3111,0.1155,0.5734
SMMT,0.3013,0.5871,0.1116,0.7298,0.6543,0.1292,0.2165
STRL,0.2168,0.6064,0.1768,0.5508,0.5293,0.0966,0.3742
TSSI,0.2880,0.5346,0.1775,0.6187,0.5642,0.0906,0.3452
UAMY,0.1677,0.6674,0.1649,0.5043,0.3744,0.1707,0.4549
VRNA,0.2333,0.5851,0.1816,0.5624,0.4829,0.1649,0.3522
MONEY,,,,,,,
